Well No.,District,Taluka,Location,Date,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR
W213215072583001,Bharuch,ANKLESVAR,Panoli,May 2018,7.52,5530.0,3705.1,0.0,451.0,1454.0,50.0,295.0,1.34,370.0,128.0,190.0,1100.0,777.0,3.0,10.19
W215500072473001,Bharuch,AMOD,Roja tankaria,May 2018,8.1,1341.0,898.47,0.0,256.0,298.0,6.0,41.0,0.48,210.0,52.0,49.0,330.0,141.0,14.6,3.37
W213700072552501,Bharuch,ANKLESVAR,Sajod,May 2018,8.29,1543.0,1033.81,33.0,659.0,184.0,16.0,61.0,1.54,595.0,32.0,19.0,160.0,353.0,3.0,12.13
W214430073123001,Bharuch,JHAGADIA,Simodra,May 2018,7.54,2367.0,1585.89,0.0,366.0,489.0,10.0,165.0,0.57,300.0,112.0,131.0,820.0,156.0,5.8,2.37
W215930072403001,Bharuch,JAMBUSAR,Tankari,May 2018,7.51,3465.0,2321.55,0.0,683.0,504.0,41.0,410.0,0.87,560.0,40.0,126.0,620.0,446.0,120.0,7.79
,Bharuch,Netrang,Juni Jamunia,May 2018,Leaked,,,,,,,,,,,,,,,
W215737071531101,Bhavnagar,Vallabhipur,Ayodhyapuram(Narayan dham),May 2018,8.27,3172.0,2125.24,0.0,769.0,483.0,37.0,215.0,2.9,630.0,24.0,19.0,140.0,663.0,8.8,24.36
W214600072090001,Bhavnagar,BHAVNAGAR,Bhavnagar1,May 2018,8.01,1044.0,699.48,0.0,281.0,170.0,5.0,36.0,0.83,230.0,28.0,15.0,130.0,178.0,0.3,6.79
W214046072143901,Bhavnagar,BHAVNAGAR,Bhumbhali,May 2018,8.23,3169.0,2123.23,0.0,500.0,497.0,4.0,406.0,1.18,410.0,40.0,63.0,360.0,547.0,13.1,12.53
W214800071303001,Bhavnagar,GADHADA,Dhasa,May 2018,7.84,2438.0,1633.46,0.0,403.0,305.0,98.0,355.0,0.571,330.0,112.0,61.0,530.0,321.0,0.4,6.06
W215800071344501,Bhavnagar,GADHADA,Gadhada2,May 2018,7.59,1979.0,1326.0,0.0,586.0,170.0,10.0,235.0,0.392,480.0,108.0,44.0,450.0,242.0,1.2,4.96
W213235071335501,Bhavnagar,GARIADHAR,Gariyadhar,May 2018,7.93,207.0,138.69,0.0,207.0,419.0,30.0,168.0,0.98,170.0,108.0,80.0,600.0,170.0,5.1,3.02
W214053072163701,Bhavnagar,GHOGHA,Ghogha,May 2018,8.61,5722.0,3833.74,30.0,207.0,1420.0,320.0,244.0,1.08,220.0,80.0,219.0,1100.0,765.0,58.9,10.03
W214800071370001,Bhavnagar,UMRALA,Jalia,May 2018,7.95,3579.0,2397.93,0.0,37.0,1022.0,24.0,228.0,0.49,30.0,392.0,15.0,1040.0,326.0,2.8,4.4
W213815071420001,Bhavnagar,PALITANA,Khijadiya,May 2018,8.12,1123.0,752.41,0.0,281.0,128.0,31.0,110.0,1.26,230.0,16.0,15.0,100.0,210.0,2.6,9.13
W212246071585001,Bhavnagar,Talaja,Kundheli,May 2018,8.22,425.0,284.75,0.0,159.0,36.0,8.0,13.0,0.93,130.0,28.0,19.0,150.0,25.0,2.8,0.89
W211250071530001,Bhavnagar,MAHUVA,Longadi,May 2018,7.65,711.0,476.37,0.0,256.0,64.0,3.0,16.0,0.99,210.0,36.0,2.0,100.0,92.0,21.1,4.0
W210545071460001,Bhavnagar,MAHUVA,Mahuva1,May 2018,8.28,3349.0,2243.83,0.0,683.0,568.0,60.0,218.0,1.36,560.0,40.0,24.0,200.0,667.0,1.5,20.51
W220105071420001,Bhavnagar,GADHADA,Ningala,May 2018,8.44,1858.0,1244.86,60.0,390.0,135.0,10.0,301.0,1.317,420.0,52.6,17.0,200.0,340.0,1.6,10.45
W213120071502001,Bhavnagar,PALITANA,Palitana2,May 2018,7.95,1710.0,1145.7,0.0,85.0,412.0,48.0,127.0,0.64,70.0,112.0,54.0,500.0,152.0,1.3,2.96
W213300071431501,Bhavnagar,PALITANA,Panchpipla,May 2018,8.45,1451.0,972.17,30.0,220.0,249.0,4.0,120.0,1.05,230.0,32.0,66.0,350.0,169.0,1.6,3.93
W220430071533001,Bhavnagar,VALLABHIPUR,Panvi1,May 2018,8.27,622.0,416.74,0.0,622.0,497.0,13.0,174.0,2.92,510.0,24.0,34.0,200.0,561.0,4.5,17.25
W212530071544501,Bhavnagar,PALITANA,Sajnasar,May 2018,8.1,983.0,658.61,0.0,268.0,163.0,12.0,35.0,0.89,220.0,80.0,22.0,290.0,97.0,5.3,2.48
W211445071390001,Bhavnagar,MAHUVA,Shantinagar,May 2018,7.94,1449.0,970.83,0.0,171.0,263.0,120.0,92.0,0.6,140.0,80.0,32.0,330.0,175.0,2.8,4.19
W212200072010001,Bhavnagar,TALAJA,Talaja2,May 2018,8.29,1078.0,722.26,0.0,171.0,185.0,100.0,75.0,0.75,140.0,36.0,63.0,350.0,99.0,0.3,2.3
W221345071361501,Bhavnagar,BOTAD,Tardhera,May 2018,7.22,6571.0,4402.57,0.0,769.0,950.0,86.0,1200.0,0.868,630.0,212.0,319.0,1840.0,659.0,15.0,6.68
W220330071380001,Bhavnagar,GADHADA,Tatam,May 2018,7.62,13700.0,9179.0,0.0,1720.0,3057.0,145.0,1108.0,1.003,1410.0,496.0,754.0,4340.0,1175.0,75.0,7.75
W214954071455801,Bhavnagar,UMRALA,Timbi2,May 2018,8.06,413.0,276.71,0.0,134.0,50.0,5.0,29.0,0.81,110.0,32.0,17.0,150.0,31.0,2.7,1.1
W215300071523001,Bhavnagar,VALLABHIPUR,Vallbhipur,May 2018,8.28,7124.0,4773.08,0.0,549.0,2237.0,12.0,230.0,2.9,450.0,160.0,110.0,850.0,1404.0,1.2,20.94
W224000074131301,Dohad,Dhanpur,Ambakatch,May 2018,8.06,1291.0,864.97,0.0,573.0,135.0,17.0,14.0,2.0,470.0,40.0,70.0,390.0,141.0,5.6,3.1
W224012073503001,Dohad,DEVGAD BARIA,Badpa,May 2018,7.9,1020.0,683.4,0.0,342.0,156.0,17.0,18.0,2.88,280.0,16.0,22.0,130.0,190.0,0.9,7.25
W225015074040001,Dohad,LIMKHEDA,Dadhela,May 2018,7.71,767.0,513.89,0.0,207.0,85.0,45.0,94.0,1.59,170.0,64.0,29.0,280.0,69.0,5.1,1.79
W225127074145801,Dohad,DOHAD,Dahod Urban-1(gerage),May 2018,8.27,1567.0,1049.89,0.0,354.0,206.0,60.0,176.0,1.28,290.0,128.0,31.0,450.0,170.0,7.5,3.48
W225041074160001,Dohad,DOHAD,Dahod Urban-2(Electricity),May 2018,7.81,1607.0,1076.69,0.0,366.0,248.0,31.0,154.0,1.41,300.0,68.0,48.0,370.0,218.0,6.0,4.93
W225023074140201,Dohad,DOHAD,Dahod Urban-3(Forest),May 2018,7.92,2347.0,1572.49,0.0,305.0,425.0,225.0,195.0,1.36,250.0,220.0,36.0,700.0,251.0,4.8,4.12
W224930074140001,Dohad,DOHAD,Dahod(Opp.Collector office),May 2018,8.97,649.0,434.83,48.0,24.0,42.0,65.0,117.0,1.52,100.0,56.0,24.0,240.0,45.0,0.4,1.26
W224200073545001,Dohad,DEVGAD BARIA,Devgadh Baria,May 2018,7.5,1667.0,1116.89,0.0,512.0,262.0,35.0,11.0,2.0,420.0,88.0,38.0,380.0,211.0,24.0,4.71
W223800074061501,Dohad,DHANPUR,Dhanpur,May 2018,7.65,928.0,621.76,0.0,220.0,163.0,68.0,10.0,2.0,180.0,36.0,60.0,340.0,66.0,2.1,1.56
W224050074184501,Dohad,GARBADA,Garbara(Forest Comp.),May 2018,7.91,5920.0,3966.4,0.0,464.0,1064.0,500.0,581.0,1.51,380.0,200.0,120.0,1000.0,880.0,25.0,12.1
W223450074065001,Dohad,DHANPUR,Kanjetha,May 2018,7.7,700.0,469.0,0.0,268.0,92.0,10.0,4.0,1.3,220.0,36.0,34.0,230.0,63.0,2.9,1.81
W224215073501501,Dohad,DEVGAD BARIA,Khandania,May 2018,7.69,569.0,381.23,0.0,256.0,78.0,19.0,3.0,3.0,210.0,32.0,12.0,130.0,100.0,1.3,3.81
W230015074093001,Dohad,JHALOD,Limbdi,May 2018,7.69,1138.0,762.46,0.0,220.0,177.0,10.0,153.0,1.32,180.0,76.0,34.0,330.0,126.0,6.6,3.02
W225600074120001,Dohad,JHALOD,Mirakhedi,May 2018,8.05,863.0,578.21,0.0,220.0,78.0,74.0,93.0,1.45,180.0,96.0,19.0,320.0,61.0,2.9,1.48
W224345074183001,Dohad,GARBADA,Panchwada,May 2018,8.28,1072.0,718.24,0.0,354.0,78.0,46.0,128.0,0.3,290.0,96.0,29.0,360.0,98.0,6.0,2.25
W231340073583701,Dohad,FATEPURA,Sarsava,May 2018,8.52,671.0,449.57,36.0,110.0,50.0,15.0,102.0,1.2,150.0,80.0,12.0,250.0,43.0,4.7,1.18
W230900074030001,Dohad,FATEPURA,Sukhsar,May 2018,8,706.0,473.02,0.0,195.0,57.0,56.0,64.0,1.35,160.0,64.0,14.0,220.0,63.0,1.5,1.85
W223615074021501,Dohad,DHANPUR,Tokarba,May 2018,7.71,951.0,637.17,0.0,305.0,149.0,11.0,2.0,1.45,250.0,40.0,38.0,260.0,100.0,3.0,2.7
W224800074163001,Dohad,DOHAD,Varamkheda,May 2018,7.81,858.0,574.86,0.0,244.0,57.0,54.0,125.0,1.61,200.0,88.0,26.0,330.0,60.0,1.8,1.44
W231045072503001,Gandhinagar,DEHGAM,Paliya,May 2018,8.79,2179.0,1459.93,96.0,220.0,326.0,16.0,228.0,0.52,340.0,51.0,108.0,580.0,220.0,2.3,3.97
W231140072340001,Gandhinagar,GANDHINAGAR,Serthapara1,May 2018,7.69,4718.0,3161.06,0.0,915.0,737.0,320.0,252.0,1.0,750.0,92.0,65.0,500.0,840.0,55.0,16.33
W215500069513001,Jamnagar,BHANVAD,Ambardi,May 2018,7.86,1500.0,1005.0,0.0,384.0,234.0,65.0,50.0,0.7,315.0,64.0,83.0,500.0,110.0,1.3,2.14
W224945070334501,Jamnagar,JODIYA,Amran1,May 2018,8.36,1262.0,845.54,48.0,256.0,142.0,5.0,126.0,0.88,290.0,24.0,34.0,200.0,194.0,2.6,5.96
W215415069573001,Jamnagar,JAMJODHPUR,Balwa,May 2018,8.12,1265.0,847.55,0.0,323.0,213.0,48.0,26.0,0.27,265.0,132.0,24.0,430.0,89.0,4.6,1.87
W222615069540002,Jamnagar,JAMNAGAR,Bed1,May 2018,7.66,2577.0,1726.59,0.0,311.0,482.0,170.0,205.0,0.16,255.0,220.0,134.0,1100.0,132.0,0.4,1.73
